# Created by Group 4
# Project - Conventional Avocado Optimization

set K:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45;

param cx:=
1	0
2	15
3	50
4	25
5	45
6	45
7	65
8	70
9	20
10	55
11	25
12	80
13	60
14	0
15	0
16	40
17	60
18	90
19	80
20	75
21	89
22	63
23	20
24	67
25	55
26	46
27	15
28	66
29	17
30	0
31	37
32	84
33	70
34	12
35	23
36	60
37	69
38	67
39	8
40	58
41	23
42	89
43	75
44	35
45	24;

param cy:=
1	20
2	25
3	90
4	25
5	45
6	40
7	75
8	15
9	25
10	55
11	85
12	70
13	60
14	5
15	85
16	0
17	15
18	90
19	50
20	65
21	45
22	23
23	30
24	13
25	57
26	16
27	89
28	52
29	10
30	23
31	26
32	78
33	78
34	21
35	24
36	25
37	63
38	34
39	93
40	12
41	27
42	22
43	42
44	67
45	82;

param s:=
1	7
2	6
3	5
4	7
5	5
6	6
7	7
8	9
9	9
10	11
11	11
12	7
13	10
14	5
15	8
16	2
17	6
18	4
19	8
20	6
21	7
22	8
23	9
24	7
25	3
26	2
27	4
28	5
29	9
30	7
31	9
32	12
33	7
34	7
35	9
36	7
37	4
38	10
39	8
40	13
41	10
42	3
43	2
44	6
45	8;

param d:=
1	2
2	6
3	9
4	6
5	12
6	3
7	1
8	0
9	8
10	1
11	8
12	9
13	5
14	9
15	9
16	7
17	9
18	0
19	9
20	8
21	8
22	1
23	6
24	5
25	6
26	0
27	6
28	8
29	6
30	9
31	10
32	7
33	15
34	18
35	5
36	8
37	9
38	9
39	15
40	9
41	0
42	4
43	12
44	8
45	9;
